emg,grf,knee,ankle
3.150421096,-58.35669889,6.534291,7.90706
3.145034738,-57.72473596,6.496511,7.941093
3.142042317,-57.09405704,6.458909,7.975222
3.137254443,-56.46470478,6.421493,8.009451
3.141443832,-55.83672095,6.38427,8.04379
3.13545899,-55.21015213,6.347246,8.078246
3.123489305,-54.58507411,6.310428,8.112825
3.1312696,-53.96157358,6.273824,8.147536
3.134860506,-53.33973728,6.23744,8.182384
3.029527277,-52.71964455,6.201282,8.217373
2.781754798,-52.10135016,6.165356,8.252509
2.734474542,-51.48490377,6.129669,8.287799
2.582459542,-50.87035479,6.094225,8.323246
2.289202259,-50.2577296,6.059031,8.358854
2.252096236,-49.64701077,6.024091,8.394629
2.252096236,-49.03817598,5.989409,8.430572
2.253293204,-48.43120251,5.954991,8.466685
2.262270468,-47.82605602,5.920842,8.502972
2.267058342,-47.22268915,5.886963,8.539434
2.264664405,-46.62105385,5.853359,8.576074
2.259876531,-46.02110204,5.820033,8.612887
2.279028027,-45.42278541,5.786987,8.649879
2.298179523,-44.82605551,5.754224,8.687048
2.296982554,-44.23086385,5.721745,8.724392
2.294588617,-43.63715578,5.689554,8.76191
2.298179523,-43.04483766,5.657649,8.799601
2.29638407,-42.45380079,5.626032,8.837461
2.293391649,-41.86393645,5.594703,8.875491
2.296982554,-41.27513176,5.563663,8.913685
2.299376491,-40.68725954,5.53291,8.95204
2.28082348,-40.10018955,5.502445,8.990551
2.260475015,-39.51379166,5.472266,9.029217
2.256285625,-38.92795416,5.44237,9.06803
2.271846216,-38.34260131,5.412758,9.106987
2.27663409,-37.75766155,5.383425,9.146083
2.285611354,-37.17306276,5.354372,9.185312
2.285012869,-36.58871599,5.325592,9.224669
2.298179523,-36.00451283,5.297085,9.264149
2.325709798,-35.4203438,5.268847,9.303743
2.35683098,-34.83610355,5.240874,9.343449
2.332293125,-34.25173892,5.213163,9.383258
2.329300704,-33.66723271,5.185709,9.423167
2.349050684,-33.0825684,5.158509,9.463168
2.386755192,-32.49772248,5.131559,9.503257
2.443012712,-31.91262576,5.104854,9.543427
2.44420968,-31.3271908,5.07839,9.583673
2.44420968,-30.74133011,5.052163,9.62399
2.441815743,-30.1549918,5.026167,9.664371
2.439421806,-29.56825101,5.000399,9.704811
2.441815743,-28.98121119,4.974854,9.745308
2.45258846,-28.39397544,4.949528,9.785854
2.451391491,-27.80659586,4.924415,9.826447
2.429846058,-27.21902147,4.899513,9.867083
2.421467279,-26.63118889,4.874815,9.907759
2.418474857,-26.04303766,4.850319,9.94847
2.392740035,-25.45460047,4.826019,9.989214
2.381967318,-24.86602089,4.801913,10.029988
2.383164287,-24.27744898,4.777995,10.070791
2.384361255,-23.68902436,4.754262,10.111621
2.389747613,-23.10074856,4.730712,10.152474
2.398724877,-22.51252516,4.70734,10.193353
2.394535487,-21.92425569,4.684142,10.234254
